,start_time,end_time,sensor_id,no_of_cars,start_date,time
0,2018-09-21 00:00:00,2018-09-21 00:05:00,SENSITY-kc-14,3.0,2018-09-21,00:00:00
1,2018-09-21 00:05:00,2018-09-21 00:10:00,SENSITY-kc-14,4.0,2018-09-21,00:05:00
2,2018-09-21 00:10:00,2018-09-21 00:15:00,SENSITY-kc-14,4.0,2018-09-21,00:10:00
3,2018-09-21 00:15:00,2018-09-21 00:20:00,SENSITY-kc-14,4.0,2018-09-21,00:15:00
4,2018-09-21 00:20:00,2018-09-21 00:25:00,SENSITY-kc-14,4.0,2018-09-21,00:20:00
5,2018-09-21 00:25:00,2018-09-21 00:30:00,SENSITY-kc-14,4.0,2018-09-21,00:25:00
6,2018-09-21 00:30:00,2018-09-21 00:35:00,SENSITY-kc-14,6.0,2018-09-21,00:30:00
7,2018-09-21 00:35:00,2018-09-21 00:40:00,SENSITY-kc-14,6.0,2018-09-21,00:35:00
8,2018-09-21 00:40:00,2018-09-21 00:45:00,SENSITY-kc-14,5.0,2018-09-21,00:40:00
9,2018-09-21 00:45:00,2018-09-21 00:50:00,SENSITY-kc-14,5.0,2018-09-21,00:45:00
10,2018-09-21 00:50:00,2018-09-21 00:55:00,SENSITY-kc-14,5.0,2018-09-21,00:50:00
11,2018-09-21 00:55:00,2018-09-21 01:00:00,SENSITY-kc-14,3.0,2018-09-21,00:55:00
12,2018-09-21 01:00:00,2018-09-21 01:05:00,SENSITY-kc-14,3.0,2018-09-21,01:00:00
13,2018-09-21 01:05:00,2018-09-21 01:10:00,SENSITY-kc-14,3.0,2018-09-21,01:05:00
14,2018-09-21 01:10:00,2018-09-21 01:15:00,SENSITY-kc-14,3.0,2018-09-21,01:10:00
15,2018-09-21 01:15:00,2018-09-21 01:20:00,SENSITY-kc-14,3.0,2018-09-21,01:15:00
16,2018-09-21 01:20:00,2018-09-21 01:25:00,SENSITY-kc-14,3.0,2018-09-21,01:20:00
17,2018-09-21 01:25:00,2018-09-21 01:30:00,SENSITY-kc-14,3.0,2018-09-21,01:25:00
18,2018-09-21 01:30:00,0,0,0.0,0,0
19,2018-09-21 01:35:00,0,0,0.0,0,0
20,2018-09-21 01:40:00,0,0,0.0,0,0
21,2018-09-21 01:45:00,0,0,0.0,0,0
22,2018-09-21 01:50:00,0,0,0.0,0,0
23,2018-09-21 01:55:00,0,0,0.0,0,0
24,2018-09-21 02:00:00,0,0,0.0,0,0
25,2018-09-21 02:05:00,2018-09-21 02:10:00,SENSITY-kc-14,1.0,2018-09-21,02:05:00
26,2018-09-21 02:10:00,2018-09-21 02:15:00,SENSITY-kc-14,1.0,2018-09-21,02:10:00
27,2018-09-21 02:15:00,2018-09-21 02:20:00,SENSITY-kc-14,1.0,2018-09-21,02:15:00
28,2018-09-21 02:20:00,2018-09-21 02:25:00,SENSITY-kc-14,1.0,2018-09-21,02:20:00
29,2018-09-21 02:25:00,2018-09-21 02:30:00,SENSITY-kc-14,1.0,2018-09-21,02:25:00
30,2018-09-21 02:30:00,2018-09-21 02:35:00,SENSITY-kc-14,1.0,2018-09-21,02:30:00
31,2018-09-21 02:35:00,2018-09-21 02:40:00,SENSITY-kc-14,1.0,2018-09-21,02:35:00
32,2018-09-21 02:40:00,2018-09-21 02:45:00,SENSITY-kc-14,1.0,2018-09-21,02:40:00
33,2018-09-21 02:45:00,2018-09-21 02:50:00,SENSITY-kc-14,1.0,2018-09-21,02:45:00
34,2018-09-21 02:50:00,2018-09-21 02:55:00,SENSITY-kc-14,1.0,2018-09-21,02:50:00
35,2018-09-21 02:55:00,2018-09-21 03:00:00,SENSITY-kc-14,2.0,2018-09-21,02:55:00
36,2018-09-21 03:00:00,2018-09-21 03:05:00,SENSITY-kc-14,3.0,2018-09-21,03:00:00
37,2018-09-21 03:05:00,2018-09-21 03:10:00,SENSITY-kc-14,3.0,2018-09-21,03:05:00
38,2018-09-21 03:10:00,2018-09-21 03:15:00,SENSITY-kc-14,3.0,2018-09-21,03:10:00
39,2018-09-21 03:15:00,2018-09-21 03:20:00,SENSITY-kc-14,3.0,2018-09-21,03:15:00
40,2018-09-21 03:20:00,2018-09-21 03:25:00,SENSITY-kc-14,4.0,2018-09-21,03:20:00
41,2018-09-21 03:25:00,2018-09-21 03:30:00,SENSITY-kc-14,4.0,2018-09-21,03:25:00
42,2018-09-21 03:30:00,2018-09-21 03:35:00,SENSITY-kc-14,4.0,2018-09-21,03:30:00
43,2018-09-21 03:35:00,2018-09-21 03:40:00,SENSITY-kc-14,4.0,2018-09-21,03:35:00
44,2018-09-21 03:40:00,2018-09-21 03:45:00,SENSITY-kc-14,4.0,2018-09-21,03:40:00
45,2018-09-21 03:45:00,2018-09-21 03:50:00,SENSITY-kc-14,5.0,2018-09-21,03:45:00
46,2018-09-21 03:50:00,2018-09-21 03:55:00,SENSITY-kc-14,5.0,2018-09-21,03:50:00
47,2018-09-21 03:55:00,2018-09-21 04:00:00,SENSITY-kc-14,5.0,2018-09-21,03:55:00
48,2018-09-21 04:00:00,2018-09-21 04:05:00,SENSITY-kc-14,5.0,2018-09-21,04:00:00
49,2018-09-21 04:05:00,2018-09-21 04:10:00,SENSITY-kc-14,5.0,2018-09-21,04:05:00
