,start_time,no_of_cars,summary,temperature
0,2018-09-21 00:00:00,3.0,Clear,87.95
1,2018-09-21 00:05:00,4.0,Clear,87.95
2,2018-09-21 00:10:00,4.0,Clear,87.95
3,2018-09-21 00:15:00,4.0,Clear,87.95
4,2018-09-21 00:20:00,4.0,Clear,87.95
5,2018-09-21 00:25:00,4.0,Clear,87.95
6,2018-09-21 00:30:00,6.0,Clear,87.95
7,2018-09-21 00:35:00,6.0,Clear,87.95
8,2018-09-21 00:40:00,5.0,Clear,87.95
9,2018-09-21 00:45:00,5.0,Clear,87.95
10,2018-09-21 00:50:00,5.0,Clear,87.95
11,2018-09-21 00:55:00,3.0,Clear,87.95
12,2018-09-21 01:00:00,3.0,Clear,85.18
13,2018-09-21 01:05:00,3.0,Clear,85.18
14,2018-09-21 01:10:00,3.0,Clear,85.18
15,2018-09-21 01:15:00,3.0,Clear,85.18
16,2018-09-21 01:20:00,3.0,Clear,85.18
17,2018-09-21 01:25:00,3.0,Clear,85.18
18,2018-09-21 01:30:00,0.0,Clear,85.18
19,2018-09-21 01:35:00,0.0,Clear,85.18
20,2018-09-21 01:40:00,0.0,Clear,85.18
21,2018-09-21 01:45:00,0.0,Clear,85.18
22,2018-09-21 01:50:00,0.0,Clear,85.18
23,2018-09-21 01:55:00,0.0,Clear,85.18
24,2018-09-21 02:00:00,0.0,Clear,83.48
25,2018-09-21 02:05:00,1.0,Clear,83.48
26,2018-09-21 02:10:00,1.0,Clear,83.48
27,2018-09-21 02:15:00,1.0,Clear,83.48
28,2018-09-21 02:20:00,1.0,Clear,83.48
29,2018-09-21 02:25:00,1.0,Clear,83.48
30,2018-09-21 02:30:00,1.0,Clear,83.48
31,2018-09-21 02:35:00,1.0,Clear,83.48
32,2018-09-21 02:40:00,1.0,Clear,83.48
33,2018-09-21 02:45:00,1.0,Clear,83.48
34,2018-09-21 02:50:00,1.0,Clear,83.48
35,2018-09-21 02:55:00,2.0,Clear,83.48
36,2018-09-21 03:00:00,3.0,Clear,82.12
37,2018-09-21 03:05:00,3.0,Clear,82.12
38,2018-09-21 03:10:00,3.0,Clear,82.12
39,2018-09-21 03:15:00,3.0,Clear,82.12
40,2018-09-21 03:20:00,4.0,Clear,82.12
41,2018-09-21 03:25:00,4.0,Clear,82.12
42,2018-09-21 03:30:00,4.0,Clear,82.12
43,2018-09-21 03:35:00,4.0,Clear,82.12
44,2018-09-21 03:40:00,4.0,Clear,82.12
45,2018-09-21 03:45:00,5.0,Clear,82.12
46,2018-09-21 03:50:00,5.0,Clear,82.12
47,2018-09-21 03:55:00,5.0,Clear,82.12
48,2018-09-21 04:00:00,5.0,Clear,81.45
49,2018-09-21 04:05:00,5.0,Clear,81.45
50,2018-09-21 04:10:00,5.0,Clear,81.45
51,2018-09-21 04:15:00,5.0,Clear,81.45
52,2018-09-21 04:20:00,5.0,Clear,81.45
53,2018-09-21 04:25:00,5.0,Clear,81.45
54,2018-09-21 04:30:00,5.0,Clear,81.45
55,2018-09-21 04:35:00,5.0,Clear,81.45
56,2018-09-21 04:40:00,5.0,Clear,81.45
57,2018-09-21 04:45:00,6.0,Clear,81.45
58,2018-09-21 04:50:00,6.0,Clear,81.45
59,2018-09-21 04:55:00,6.0,Clear,81.45
60,2018-09-21 05:00:00,6.0,Mostly Cloudy,77.68
