,start_time,end_time,no_of_cars
0,2017-08-01 00:15:00,2017-08-01 00:20:00,3
1,2017-08-01 00:20:00,2017-08-01 00:25:00,3
2,2017-08-01 00:25:00,2017-08-01 00:30:00,3
3,2017-08-01 00:30:00,2017-08-01 00:35:00,7
4,2017-08-01 00:35:00,2017-08-01 00:40:00,7
5,2017-08-01 00:40:00,2017-08-01 00:45:00,8
6,2017-08-01 00:45:00,2017-08-01 00:50:00,7
7,2017-08-01 00:50:00,2017-08-01 00:55:00,7
8,2017-08-01 00:55:00,2017-08-01 01:00:00,7
9,2017-08-01 01:00:00,2017-08-01 01:05:00,7
10,2017-08-01 01:05:00,2017-08-01 01:10:00,7
11,2017-08-01 01:10:00,2017-08-01 01:15:00,7
12,2017-08-01 01:15:00,2017-08-01 01:20:00,9
13,2017-08-01 01:20:00,2017-08-01 01:25:00,8
14,2017-08-01 01:25:00,2017-08-01 01:30:00,8
15,2017-08-01 01:30:00,2017-08-01 01:35:00,8
16,2017-08-01 01:35:00,2017-08-01 01:40:00,8
17,2017-08-01 01:40:00,2017-08-01 01:45:00,8
18,2017-08-01 01:45:00,2017-08-01 01:50:00,8
19,2017-08-01 01:50:00,2017-08-01 01:55:00,8
20,2017-08-01 01:55:00,2017-08-01 02:00:00,8
21,2017-08-01 02:00:00,2017-08-01 02:05:00,8
22,2017-08-01 02:05:00,2017-08-01 02:10:00,8
23,2017-08-01 02:10:00,2017-08-01 02:15:00,8
24,2017-08-01 02:15:00,2017-08-01 02:20:00,8
25,2017-08-01 02:20:00,2017-08-01 02:25:00,8
26,2017-08-01 02:25:00,2017-08-01 02:30:00,8
27,2017-08-01 02:30:00,2017-08-01 02:35:00,10
28,2017-08-01 02:35:00,2017-08-01 02:40:00,8
29,2017-08-01 02:40:00,2017-08-01 02:45:00,8
30,2017-08-01 02:45:00,2017-08-01 02:50:00,8
31,2017-08-01 02:50:00,2017-08-01 02:55:00,8
32,2017-08-01 02:55:00,2017-08-01 03:00:00,8
33,2017-08-01 03:00:00,2017-08-01 03:05:00,8
34,2017-08-01 03:05:00,2017-08-01 03:10:00,8
35,2017-08-01 03:10:00,2017-08-01 03:15:00,8
36,2017-08-01 03:15:00,2017-08-01 03:20:00,8
37,2017-08-01 03:20:00,2017-08-01 03:25:00,8
38,2017-08-01 03:25:00,2017-08-01 03:30:00,8
39,2017-08-01 03:30:00,2017-08-01 03:35:00,8
40,2017-08-01 03:35:00,2017-08-01 03:40:00,8
41,2017-08-01 03:40:00,2017-08-01 03:45:00,8
42,2017-08-01 03:45:00,2017-08-01 03:50:00,9
