start_time,no_of_cars,summary,temperature
9/21/18 0:00,3,Clear,87.95
9/21/18 0:05,4,Clear,87.95
9/21/18 0:10,4,Clear,87.95
9/21/18 0:15,4,Clear,87.95
9/21/18 0:20,4,Clear,87.95
9/21/18 0:25,4,Clear,87.95
9/21/18 0:30,6,Clear,87.95
9/21/18 0:35,6,Clear,87.95
9/21/18 0:40,5,Clear,87.95
9/21/18 0:45,5,Clear,87.95
9/21/18 0:50,5,Clear,87.95
9/21/18 0:55,3,Clear,87.95
9/21/18 1:00,3,Clear,85.18
9/21/18 1:05,3,Clear,85.18
9/21/18 1:10,3,Clear,85.18
9/21/18 1:15,3,Clear,85.18
9/21/18 1:20,3,Clear,85.18
9/21/18 1:25,3,Clear,85.18
9/21/18 1:30,0,Clear,85.18
9/21/18 1:35,0,Clear,85.18
9/21/18 1:40,0,Clear,85.18
9/21/18 1:45,0,Clear,85.18
9/21/18 1:50,0,Clear,85.18
9/21/18 1:55,0,Clear,85.18
9/21/18 2:00,0,Clear,83.48
9/21/18 2:05,1,Clear,83.48
9/21/18 2:10,1,Clear,83.48
9/21/18 2:15,1,Clear,83.48
9/21/18 2:20,1,Clear,83.48
9/21/18 2:25,1,Clear,83.48
9/21/18 2:30,1,Clear,83.48
9/21/18 2:35,1,Clear,83.48
9/21/18 2:40,1,Clear,83.48
9/21/18 2:45,1,Clear,83.48
9/21/18 2:50,1,Clear,83.48
9/21/18 2:55,2,Clear,83.48
9/21/18 3:00,3,Clear,82.12
9/21/18 3:05,3,Clear,82.12
9/21/18 3:10,3,Clear,82.12
9/21/18 3:15,3,Clear,82.12
9/21/18 3:20,4,Clear,82.12
9/21/18 3:25,4,Clear,82.12
9/21/18 3:30,4,Clear,82.12
9/21/18 3:35,4,Clear,82.12
9/21/18 3:40,4,Clear,82.12
9/21/18 3:45,5,Clear,82.12
9/21/18 3:50,5,Clear,82.12
9/21/18 3:55,5,Clear,82.12
9/21/18 4:00,5,Clear,81.45
9/21/18 4:05,5,Clear,81.45
9/21/18 4:10,5,Clear,81.45
9/21/18 4:15,5,Clear,81.45
9/21/18 4:20,5,Clear,81.45
9/21/18 4:25,5,Clear,81.45
9/21/18 4:30,5,Clear,81.45
9/21/18 4:35,5,Clear,81.45
9/21/18 4:40,5,Clear,81.45
9/21/18 4:45,6,Clear,81.45
9/21/18 4:50,6,Clear,81.45
9/21/18 4:55,6,Clear,81.45
9/21/18 5:00,6,Mostly Cloudy,77.68
9/21/18 5:05,6,Mostly Cloudy,77.68
9/21/18 5:10,6,Mostly Cloudy,77.68
9/21/18 5:15,6,Mostly Cloudy,77.68
9/21/18 5:20,6,Mostly Cloudy,77.68
9/21/18 5:25,6,Mostly Cloudy,77.68
9/21/18 5:30,7,Mostly Cloudy,77.68
9/21/18 5:35,7,Mostly Cloudy,77.68
9/21/18 5:40,7,Mostly Cloudy,77.68
9/21/18 5:45,7,Mostly Cloudy,77.68
9/21/18 5:50,7,Mostly Cloudy,77.68
9/21/18 5:55,7,Mostly Cloudy,77.68
9/21/18 6:00,7,Mostly Cloudy,75.86
9/21/18 6:05,7,Mostly Cloudy,75.86
9/21/18 6:10,7,Mostly Cloudy,75.86
9/21/18 6:15,7,Mostly Cloudy,75.86
9/21/18 6:20,8,Mostly Cloudy,75.86
9/21/18 6:25,8,Mostly Cloudy,75.86
9/21/18 6:30,8,Mostly Cloudy,75.86
9/21/18 6:35,8,Mostly Cloudy,75.86
9/21/18 6:40,8,Mostly Cloudy,75.86
9/21/18 6:45,8,Mostly Cloudy,75.86
9/21/18 6:50,8,Mostly Cloudy,75.86
9/21/18 6:55,8,Mostly Cloudy,75.86
9/21/18 7:00,8,Overcast,71.46
9/21/18 7:05,8,Overcast,71.46
9/21/18 7:10,8,Overcast,71.46
9/21/18 7:15,8,Overcast,71.46
9/21/18 7:20,8,Overcast,71.46
9/21/18 7:25,8,Overcast,71.46
9/21/18 7:30,8,Overcast,71.46
9/21/18 7:35,8,Overcast,71.46
9/21/18 7:40,8,Overcast,71.46
9/21/18 7:45,8,Overcast,71.46
9/21/18 7:50,8,Overcast,71.46
9/21/18 7:55,8,Overcast,71.46
9/21/18 8:00,8,Light Rain,69.89
9/21/18 8:05,8,Light Rain,69.89
9/21/18 8:10,8,Light Rain,69.89
9/21/18 8:15,8,Light Rain,69.89
9/21/18 8:20,8,Light Rain,69.89
9/21/18 8:25,8,Light Rain,69.89
9/21/18 8:30,8,Light Rain,69.89
9/21/18 8:35,8,Light Rain,69.89
9/21/18 8:40,8,Light Rain,69.89
9/21/18 8:45,8,Light Rain,69.89
9/21/18 8:50,8,Light Rain,69.89
9/21/18 8:55,7,Light Rain,69.89
9/21/18 9:00,7,Rain,68.89
9/21/18 9:05,7,Rain,68.89
9/21/18 9:10,7,Rain,68.89
9/21/18 9:15,7,Rain,68.89
9/21/18 9:20,7,Rain,68.89
9/21/18 9:25,6,Rain,68.89
9/21/18 9:30,6,Rain,68.89
9/21/18 9:35,6,Rain,68.89
9/21/18 9:40,6,Rain,68.89
9/21/18 9:45,6,Rain,68.89
9/21/18 9:50,6,Rain,68.89
9/21/18 9:55,6,Rain,68.89
9/21/18 10:00,6,Rain,68.53
9/21/18 10:05,6,Rain,68.53
9/21/18 10:10,6,Rain,68.53
9/21/18 10:15,6,Rain,68.53
9/21/18 10:20,6,Rain,68.53
9/21/18 10:25,6,Rain,68.53
9/21/18 10:30,5,Rain,68.53
9/21/18 10:35,5,Rain,68.53
9/21/18 10:40,5,Rain,68.53
9/21/18 10:45,5,Rain,68.53
9/21/18 10:50,5,Rain,68.53
9/21/18 10:55,5,Rain,68.53
9/21/18 11:00,5,Light Rain,68.7
9/21/18 11:05,5,Light Rain,68.7
9/21/18 11:10,5,Light Rain,68.7
9/21/18 11:15,5,Light Rain,68.7
9/21/18 11:20,5,Light Rain,68.7
9/21/18 11:25,5,Light Rain,68.7
9/21/18 11:30,5,Light Rain,68.7
9/21/18 11:35,5,Light Rain,68.7
9/21/18 11:40,5,Light Rain,68.7
9/21/18 11:45,5,Light Rain,68.7
9/21/18 11:50,5,Light Rain,68.7
9/21/18 11:55,5,Light Rain,68.7
9/21/18 12:00,5,Mostly Cloudy,67.99
9/21/18 12:05,4,Mostly Cloudy,67.99
9/21/18 12:10,4,Mostly Cloudy,67.99
9/21/18 12:15,4,Mostly Cloudy,67.99
9/21/18 12:20,4,Mostly Cloudy,67.99
9/21/18 12:25,4,Mostly Cloudy,67.99
9/21/18 12:30,4,Mostly Cloudy,67.99
9/21/18 12:35,4,Mostly Cloudy,67.99
9/21/18 12:40,4,Mostly Cloudy,67.99
9/21/18 12:45,4,Mostly Cloudy,67.99
9/21/18 12:50,4,Mostly Cloudy,67.99
9/21/18 12:55,4,Mostly Cloudy,67.99
9/21/18 13:00,4,Overcast,65.98
9/21/18 13:05,4,Overcast,65.98
9/21/18 13:10,4,Overcast,65.98
9/21/18 13:15,4,Overcast,65.98
9/21/18 13:20,4,Overcast,65.98
9/21/18 13:25,4,Overcast,65.98
9/21/18 13:30,4,Overcast,65.98
9/21/18 13:35,4,Overcast,65.98
9/21/18 13:40,4,Overcast,65.98
9/21/18 13:45,3,Overcast,65.98
9/21/18 13:50,3,Overcast,65.98
9/21/18 13:55,3,Overcast,65.98
9/21/18 14:00,3,Mostly Cloudy,64.55
9/21/18 14:05,3,Mostly Cloudy,64.55
9/21/18 14:10,3,Mostly Cloudy,64.55
9/21/18 14:15,3,Mostly Cloudy,64.55
9/21/18 14:20,3,Mostly Cloudy,64.55
9/21/18 14:25,3,Mostly Cloudy,64.55
9/21/18 14:30,3,Mostly Cloudy,64.55
9/21/18 14:35,3,Mostly Cloudy,64.55
9/21/18 14:40,3,Mostly Cloudy,64.55
9/21/18 14:45,3,Mostly Cloudy,64.55
9/21/18 14:50,3,Mostly Cloudy,64.55
9/21/18 14:55,3,Mostly Cloudy,64.55
9/21/18 15:00,3,Clear,66.35
9/21/18 15:05,2,Clear,66.35
9/21/18 15:10,2,Clear,66.35
9/21/18 15:15,2,Clear,66.35
9/21/18 15:20,2,Clear,66.35
9/21/18 15:25,2,Clear,66.35
9/21/18 15:30,2,Clear,66.35
9/21/18 15:35,2,Clear,66.35
9/21/18 15:40,2,Clear,66.35
9/21/18 15:45,1,Clear,66.35
9/21/18 15:50,1,Clear,66.35
9/21/18 15:55,1,Clear,66.35
9/21/18 16:00,1,Clear,67.24
9/21/18 16:05,1,Clear,67.24
9/21/18 16:10,1,Clear,67.24
9/21/18 16:15,1,Clear,67.24
9/21/18 16:20,1,Clear,67.24
9/21/18 16:25,1,Clear,67.24
9/21/18 16:30,1,Clear,67.24
9/21/18 16:35,1,Clear,67.24
9/21/18 16:40,1,Clear,67.24
9/21/18 16:45,1,Clear,67.24
9/21/18 16:50,1,Clear,67.24
9/21/18 16:55,1,Clear,67.24
9/21/18 17:00,1,Clear,67.58
9/21/18 17:05,0,Clear,67.58
9/21/18 17:10,0,Clear,67.58
9/21/18 17:15,0,Clear,67.58
9/21/18 17:20,0,Clear,67.58
9/21/18 17:25,0,Clear,67.58
9/21/18 17:30,1,Clear,67.58
9/21/18 17:35,1,Clear,67.58
9/21/18 17:40,1,Clear,67.58
9/21/18 17:45,1,Clear,67.58
9/21/18 17:50,2,Clear,67.58
9/21/18 17:55,2,Clear,67.58
9/21/18 18:00,2,Clear,67.39
9/21/18 18:05,2,Clear,67.39
9/21/18 18:10,2,Clear,67.39
9/21/18 18:15,2,Clear,67.39
9/21/18 18:20,4,Clear,67.39
9/21/18 18:25,6,Clear,67.39
9/21/18 18:30,5,Clear,67.39
9/21/18 18:35,5,Clear,67.39
9/21/18 18:40,6,Clear,67.39
9/21/18 18:45,3,Clear,67.39
9/21/18 18:50,3,Clear,67.39
9/21/18 18:55,2,Clear,67.39
9/21/18 19:00,1,Clear,67.96
9/21/18 19:05,1,Clear,67.96
9/21/18 19:10,1,Clear,67.96
9/21/18 19:15,0,Clear,67.96
9/21/18 19:20,4,Clear,67.96
9/21/18 19:25,7,Clear,67.96
9/21/18 19:30,2,Clear,67.96
9/21/18 19:35,4,Clear,67.96
9/21/18 19:40,4,Clear,67.96
9/21/18 19:45,3,Clear,67.96
9/21/18 19:50,3,Clear,67.96
9/21/18 19:55,2,Clear,67.96
9/21/18 20:00,2,Clear,67.5
9/21/18 20:05,2,Clear,67.5
9/21/18 20:10,4,Clear,67.5
9/21/18 20:15,1,Clear,67.5
9/21/18 20:20,1,Clear,67.5
9/21/18 20:25,0,Clear,67.5
9/21/18 20:30,0,Clear,67.5
9/21/18 20:35,1,Clear,67.5
9/21/18 20:40,4,Clear,67.5
9/21/18 20:45,4,Clear,67.5
9/21/18 20:50,4,Clear,67.5
9/21/18 20:55,2,Clear,67.5
9/21/18 21:00,6,Clear,67.49
9/21/18 21:05,5,Clear,67.49
9/21/18 21:10,2,Clear,67.49
9/21/18 21:15,2,Clear,67.49
9/21/18 21:20,2,Clear,67.49
9/21/18 21:25,2,Clear,67.49
9/21/18 21:30,2,Clear,67.49
9/21/18 21:35,3,Clear,67.49
9/21/18 21:40,2,Clear,67.49
9/21/18 21:45,3,Clear,67.49
